SINAPI - Sistema Nacional de Pesquisa de Custos e Índices da Construção Civil,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,__arquivo_origem,Unnamed: 0
RELATÓRIO DE FAMÍLIAS E COEFICIENTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SINAPI_familias_e_coeficientes_2025_06.xlsx,
Mês de Referência:,06/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SINAPI_familias_e_coeficientes_2025_06.xlsx,
Data de emissão:,11/07/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SINAPI_familias_e_coeficientes_2025_06.xlsx,
,,,,Coeficientes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,SINAPI_familias_e_coeficientes_2025_06.xlsx,
"Código da
Família","Código do
Insumo",Descrição do Insumo,Unidade,Categoria,AC,AL,AM,AP,BA,CE,DF,ES,GO,MA,MG,MS,MT,PA,PB,PE,PI,PR,RJ,RN,RO,RR,RS,SC,SE,SP,TO,SINAPI_familias_e_coeficientes_2025_06.xlsx,
4234,6175,TECNICO EM SONDAGEM (HORISTA),H,REPRESENTADO,2.3485686,1.7691231,1.4416674,1.4416674,1.2333178,2.1313045,1.4416674,1.7337398,3.034073,2.9881353,0.7386771,1.7484555,1.058815,1.3693977,2.3998905,1.5070559,1.7691231,0.9776939,0.8788952,1.7691231,2.883641,1.4416674,1.4416674,1.1798899,1.7691231,0.8788952,1.8541942,SINAPI_familias_e_coeficientes_2025_06.xlsx,
4234,41092,TECNICO EM SONDAGEM (MENSALISTA),MES,REPRESENTADO,516.6850858,389.2070923,317.166821,317.166821,271.3299153,468.887,317.166821,381.4227569,667.4960651,657.3897597,162.5089697,384.6602099,232.939305,301.26749,527.9759048,331.552292,389.2070923,215.0926584,193.3569405,389.2070923,634.4010256,317.166821,317.166821,259.5757853,389.2070923,193.3569405,407.922722,SINAPI_familias_e_coeficientes_2025_06.xlsx,
4262,4262,"PA CARREGADEIRA SOBRE RODAS, POTENCIA LIQUIDA 128 HP, CAPACIDADE DA CACAMBA DE 1,7 A 2,8 M3, PESO OPERACIONAL MAXIMO DE 11632 KG",UN,REPRESENTATIVO,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,SINAPI_familias_e_coeficientes_2025_06.xlsx,
4262,14221,"PA CARREGADEIRA SOBRE RODAS, POTENCIA 152 HP, CAPACIDADE DA CACAMBA DE 1,53 A 2,30 M3, PESO OPERACIONAL MAXIMO DE 10216 KG",UN,REPRESENTADO,0.9213333,0.9213333,0.9213333,0.9213333,0.9213333,0.9213333,0.9213333,0.9213333,0.9213333,0.9213333,0.9213333,0.9213333,0.9213333,0.9213333,0.9213333,0.9213333,0.9213333,0.9213333,0.9213333,0.9213333,0.9213333,0.9213333,0.9213333,0.9213333,0.9213333,0.9213333,0.9213333,SINAPI_familias_e_coeficientes_2025_06.xlsx,
4262,36517,"PA CARREGADEIRA SOBRE RODAS, POTENCIA BRUTA *127* CV, CAPACIDADE DA CACAMBA DE 2,0 A 2,4 M3, PESO OPERACIONAL MAXIMO DE 10330 KG",UN,REPRESENTADO,0.888,0.888,0.888,0.888,0.888,0.888,0.888,0.888,0.888,0.888,0.888,0.888,0.888,0.888,0.888,0.888,0.888,0.888,0.888,0.888,0.888,0.888,0.888,0.888,0.888,0.888,0.888,SINAPI_familias_e_coeficientes_2025_06.xlsx,
4262,4263,"PA CARREGADEIRA SOBRE RODAS, POTENCIA LIQUIDA 197 HP, CAPACIDADE DA CACAMBA DE 2,5 A 3,5 M3, PESO OPERACIONAL MAXIMO DE 18338 KG",UN,REPRESENTADO,1.3866666,1.3866666,1.3866666,1.3866666,1.3866666,1.3866666,1.3866666,1.3866666,1.3866666,1.3866666,1.3866666,1.3866666,1.3866666,1.3866666,1.3866666,1.3866666,1.3866666,1.3866666,1.3866666,1.3866666,1.3866666,1.3866666,1.3866666,1.3866666,1.3866666,1.3866666,1.3866666,SINAPI_familias_e_coeficientes_2025_06.xlsx,
4262,36518,"PA CARREGADEIRA SOBRE RODAS, POTENCIA LIQUIDA 213 HP, CAPACIDADE DA CACAMBA DE 1,9 A 3,5 M3, PESO OPERACIONAL MAXIMO DE 19234 KG",UN,REPRESENTADO,1.5786666,1.5786666,1.5786666,1.5786666,1.5786666,1.5786666,1.5786666,1.5786666,1.5786666,1.5786666,1.5786666,1.5786666,1.5786666,1.5786666,1.5786666,1.5786666,1.5786666,1.5786666,1.5786666,1.5786666,1.5786666,1.5786666,1.5786666,1.5786666,1.5786666,1.5786666,1.5786666,SINAPI_familias_e_coeficientes_2025_06.xlsx,
4274,4274,"PARA-RAIOS TIPO FRANKLIN 350 MM, EM LATAO CROMADO, DUAS DESCIDAS, PARA PROTECAO DE EDIFICACOES CONTRA DESCARGAS ATMOSFERICAS",UN,REPRESENTATIVO,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,SINAPI_familias_e_coeficientes_2025_06.xlsx,
4274,38060,"BASE PARA MASTRO DE PARA-RAIOS DIAMETRO NOMINAL 1 1/2""",UN,REPRESENTADO,0.4035404,0.4035404,0.4035404,0.4035404,0.4035404,0.4035404,0.4035404,0.4035404,0.4035404,0.4035404,0.4035404,0.4035404,0.4035404,0.4035404,0.4035404,0.4035404,0.4035404,0.4035404,0.4035404,0.4035404,0.4035404,0.4035404,0.4035404,0.4035404,0.4035404,0.4035404,0.4035404,SINAPI_familias_e_coeficientes_2025_06.xlsx,
4274,10956,"BASE PARA MASTRO DE PARA-RAIOS DIAMETRO NOMINAL 2""",UN,REPRESENTADO,0.4425521,0.4425521,0.4425521,0.4425521,0.4425521,0.4425521,0.4425521,0.4425521,0.4425521,0.4425521,0.4425521,0.4425521,0.4425521,0.4425521,0.4425521,0.4425521,0.4425521,0.4425521,0.4425521,0.4425521,0.4425521,0.4425521,0.4425521,0.4425521,0.4425521,0.4425521,0.4425521,SINAPI_familias_e_coeficientes_2025_06.xlsx,
4274,41410,"CAPTOR FRANKLIN (4 PONTAS), EM LATAO CROMADO, H = 300 MM, DUAS DESCIDAS",UN,REPRESENTADO,0.5703259,0.5703259,0.5703259,0.5703259,0.5703259,0.5703259,0.5703259,0.5703259,0.5703259,0.5703259,0.5703259,0.5703259,0.5703259,0.5703259,0.5703259,0.5703259,0.5703259,0.5703259,0.5703259,0.5703259,0.5703259,0.5703259,0.5703259,0.5703259,0.5703259,0.5703259,0.5703259,SINAPI_familias_e_coeficientes_2025_06.xlsx,
4274,41411,"CAPTOR FRANKLIN (4 PONTAS), EM LATAO CROMADO, H = 300 MM, UMA DESCIDA",UN,REPRESENTADO,0.5170519,0.5170519,0.5170519,0.5170519,0.5170519,0.5170519,0.5170519,0.5170519,0.5170519,0.5170519,0.5170519,0.5170519,0.5170519,0.5170519,0.5170519,0.5170519,0.5170519,0.5170519,0.5170519,0.5170519,0.5170519,0.5170519,0.5170519,0.5170519,0.5170519,0.5170519,0.5170519,SINAPI_familias_e_coeficientes_2025_06.xlsx,
4274,41412,"CAPTOR FRANKLIN (4 PONTAS), EM LATAO CROMADO, H = 350 MM, DUAS DESCIDAS",UN,REPRESENTADO,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,SINAPI_familias_e_coeficientes_2025_06.xlsx,
4274,41413,"CAPTOR FRANKLIN (4 PONTAS), EM LATAO CROMADO, H=350 MM, UMA DESCIDA",UN,REPRESENTADO,0.89987,0.89987,0.89987,0.89987,0.89987,0.89987,0.89987,0.89987,0.89987,0.89987,0.89987,0.89987,0.89987,0.89987,0.89987,0.89987,0.89987,0.89987,0.89987,0.89987,0.89987,0.89987,0.89987,0.89987,0.89987,0.89987,0.89987,SINAPI_familias_e_coeficientes_2025_06.xlsx,
